State | Easternmost Zip | Westernmost Zip | Northernmost Zip | Southernmost Zip
---------------------------------------------------------------
AP | 96337 96208 
AA | 34034 
PA | 16820 
GA | 31001 
AL | 36310 
SC | 29620 
MS | 38601 
LA | 70510 70511 
ME | 4406 
WI | 54405 
TX | 76621 
PA | 17301 
KS | 67510 
MD | 20606 
ND | 58001 
NC | 28315 
WA | 98520 
MS | 39730 
ID | 83210 
OH | 45101 
SD | 57401 57402 
MD | 21001 
KY | 42201 
MD | 21005 
AL | 35440 
TX | 79311 
NE | 68001 
KS | 67410 
TX | 79698 79699 79697 79601 79602 79608 79603 79604 79605 79606 
VA | 24210 
MD | 21009 
VA | 24211 24212 
IL | 61410 
PA | 19001 
CT | 6230 
MA | 2351 
NM | 87510 
LA | 70420 
WI | 54101 
ND | 58002 
MT | 59001 
NJ | 8201 8205 
CA | 95220 
MD | 21520 20607 
VA | 23301 
MA | 2018 
NY | 12404 
WV | 25606 
TX | 77326 
OK | 74720 
VA | 23001 
TX | 79713 
MS | 39735 
IA | 50601 50001 
WA | 98220 
LA | 71316 
PA | 15610 
MI | 49610 
PA | 15520 
NY | 12405 
MT | 59002 
MA | 1720 1718 
ME | 4001 
CA | 93510 
MA | 2743 
GA | 30102 
NH | 3601 
GA | 30101 
MI | 49355 49357 49356 49301 
OH | 45810 
MN | 56510 
OK | 74821 74820 
PA | 15410 
OK | 74330 
IA | 50002 
IL | 61411 
GA | 30103 
KY | 42202 
AK | 99546 
VT | 5640 
WI | 53910 
OR | 97810 
NE | 68301 
NY | 13605 
MN | 55909 
KY | 41201 
OK | 73901 
TN | 37010 
ND | 58210 
MA | 1220 
NY | 14410 13606 
SC | 29426 
PA | 15611 19501 
MD | 21710 
TN | 38310 
RI | 2801 
OH | 43802 
PA | 16110 
AL | 35005 
IL | 62214 
OK | 73520 
LA | 70710 
PA | 15411 
NY | 14801 
IL | 60101 
TX | 75001 
AL | 35540 
MI | 49220 
ME | 4606 
WA | 99101 
OH | 45001 
GA | 31620 
IA | 50003 
OR | 97620 
CA | 92301 
WI | 53001 
OH | 43101 
NJ | 7710 
OH | 43901 
AL | 35006 
CA | 96006 
NY | 12808 
TX | 78101 
KS | 66830 
WA | 98522 
KY | 42120 
AR | 72001 
MN | 56110 
OR | 97901 
GA | 31002 
TX | 79001 
MI | 49221 
WV | 26210 
PA | 16210 
MO | 64720 63730 
IN | 46102 
NC | 27006 
WV | 25231 
TN | 37616 
MN | 55001 
IA | 50830 
WY | 83110 
TX | 79220 
OK | 74331 
VA | 22920 
WI | 53501 
MI | 49705 
NY | 13730 
SD | 57520 
ND | 58310 
CO | 80101 
MA | 1001 
IA | 52530 
MO | 64401 
KS | 66930 
KY | 40801 
OR | 97406 
CA | 91376 91301 
KS | 67621 
OK | 74824 
TX | 78330 
CA | 92536 
AZ | 85320 
CO | 81020 
MN | 56430 
MI | 49901 
NC | 27910 
ID | 83520 
CA | 93601 
HI | 96701 
SC | 29802 29803 29801 29804 
TX | 79221 
SC | 29808 29805 
GA | 30410 
LA | 71401 
IA | 52201 
NE | 69210 
PA | 17302 
WA | 99001 
MN | 56431 
AZ | 85321 
SD | 57420 
MN | 56433 
LA | 70421 
AK | 99551 99552 
OH | 44396 44398 44372 44306 
NY | 14001 
OH | 44314 44307 44311 
IA | 51001 
OH | 44310 
IN | 46910 
OH | 44308 44309 44328 
CO | 80720 
OH | 44315 44316 44317 
MI | 48701 
OH | 44313 44319 44312 44301 44320 44302 44303 
AL | 35441 
OH | 44321 44304 
PA | 17501 
OH | 44305 44325 44326 44333 
AK | 99553 
AL | 35007 
FL | 32615 32616 
WY | 82710 
AK | 99554 
NC | 27201 
CA | 94502 94501 
NV | 89001 
IN | 47916 
TX | 78516 
TN | 38001 
GA | 30411 
ND | 58830 
CA | 94507 
NM | 88310 88311 
CO | 81101 81102 
TX | 79002 
MI | 49706 
GA | 31622 
MI | 49611 
TX | 75410 
PA | 16910 
MO | 64830 
OK | 74721 
OH | 45710 
NY | 12257 12260 12261 12256 12255 
WI | 53502 
CA | 94706 
NY | 12288 
IN | 47320 
NY | 12252 12214 12206 12207 12208 
OR | 97321 97322 
NY | 12209 12210 12211 12212 12205 12220 12222 12223 12224 12225 12226 12227 12228 
TX | 76430 
MN | 56307 
GA | 31708 31707 31706 31705 31704 31703 31702 31701 
KY | 42602 
VT | 5820 
GA | 31721 
IL | 61230 
LA | 70711 
NY | 12201 12202 12203 12204 12233 12237 12246 12238 12236 12243 12239 12247 12229 12244 12240 12235 12249 12234 12232 12242 12241 12230 
MO | 64402 
NY | 12231 12248 12250 12245 
NC | 28002 28001 
IL | 62215 
OK | 73001 
KS | 67511 
IA | 50510 
MN | 56007 56207 
AL | 36720 
VA | 23821 
MT | 59820 
NC | 28508 
NY | 11507 
MN | 55301 
AL | 35951 35950 
IA | 52531 
WY | 82050 
PA | 16475 
IN | 46701 
PA | 16401 
ME | 4910 
IA | 50005 
RI | 2802 
WA | 99102 
OK | 74521 
ID | 83311 
MI | 49224 
NY | 14411 
CA | 95410 
IL | 62806 
NE | 68620 
MN | 55702 
WV | 26519 
PA | 18210 
NM | 87109 87107 87108 87191 87105 87106 87110 87111 87112 87113 87114 87115 87116 87119 87120 87121 87122 87123 87125 87103 87199 87198 87197 87196 87195 87194 87193 87192 87190 87187 87185 87181 87176 87158 87154 87153 87131 87101 87184 87104 87102 
VT | 5440 
IA | 52202 
PA | 18011 
NM | 87511 
SD | 57001 
TN | 37701 
SC | 29001 
WY | 82620 
NY | 12007 
NE | 68810 
MI | 49612 
KS | 67512 
IL | 60001 
IA | 50006 
NY | 14004 
MN | 56009 
MT | 59710 
NY | 13301 
CA | 95511 
OK | 74522 
WV | 24910 
VA | 20105 
MO | 65601 
MN | 56434 
IL | 61231 
TX | 76008 
AK | 99555 
PA | 15310 
OK | 73002 
ND | 58831 
AR | 72002 
KS | 67513 
IL | 62601 
NC | 28701 
NY | 14005 
IA | 50420 
AL | 35011 35010 
LA | 71301 
VA | 22302 22303 
OH | 43001 
LA | 71302 
VA | 22304 
LA | 71303 
NE | 68303 
VA | 22305 
MN | 56308 
VA | 22311 22310 22309 22308 22313 22307 
IN | 46001 
VA | 22301 22306 
LA | 71307 
MO | 63430 
PA | 16611 
SD | 57311 
VA | 22350 22334 22333 22332 22331 22320 22315 
TN | 37012 
VA | 22314 
KY | 41001 
VA | 22312 
LA | 71315 
AL | 36250 
